"uw","ug","dp_ave","mu_gas","mu_water","mu_foam"
2.9391494569140415e-7,7.1313587925610675e-6,1.8719441312849163,1.8037698255734388e-5,0.0009538430623026584,0.2920414344059868
2.9391494569140415e-7,2.6933168373871707e-5,1.9689947731092439,1.8039415831829007e-5,0.0009538408674025692,0.08377366229184835
2.2043620926855314e-6,1.0011168912075963e-5,13.954430048040457,1.814432471722154e-5,0.0009537113374734422,1.3233167553352565
7.347873642285104e-7,1.1252213593824402e-5,6.866643887080367,1.808191599131892e-5,0.0009537873447785788,0.6635872662991597
1.0287023099199146e-6,1.1987719110328294e-5,8.538583985143918,1.8095611417064136e-5,0.0009537704098151005,0.7599032682942359
7.347873642285104e-7,6.452909115961185e-6,2.8732834116387003,1.8044020413869927e-5,0.0009538349956676787,0.46307655609171205
3.673936821142552e-6,8.921074739815558e-6,13.118051400355872,1.8138784022042768e-5,0.000953717967658455,1.2065208088738517
7.347873642285104e-6,9.147453907586884e-6,11.965441825000001,1.812478028191239e-5,0.0009537348249660963,0.8402951455534741
1.1021810463427657e-5,9.25890140483282e-6,11.139040274390245,1.8118172649581045e-5,0.0009537428294887045,0.6362512345010018
1.4695747284570208e-5,9.331584893717824e-6,10.58827367368421,1.8113960114710376e-5,0.0009537479496861687,0.5104857978792775
8.817448370742126e-6,5.059326078383185e-6,9.819530493150685,1.8105444239331776e-5,0.0009537583415708793,0.8197213611281178
4.408724185371063e-6,5.003542116110906e-6,10.646854841911766,1.8111308215517558e-5,0.0009537511798656957,1.3103616843305592
2.2043620926855314e-6,4.996027856511998e-6,10.387449804081633,1.8112109508648327e-5,0.0009537502032778344,1.6711559513880858
1.1756597827656166e-5,2.6120677800543943e-6,8.105175121212122,1.8087973402475718e-5,0.000953779836272387,0.6534464812081385
5.878298913828083e-6,2.578458767846345e-6,8.733827214953271,1.8094540561237743e-5,0.0009537717286552885,1.196367944601144
2.9391494569140415e-6,2.598726442037242e-6,8.640988115751792,1.8090557215784044e-5,0.0009537766423280365,1.8075247281276852
1.3226172556113187e-5,1.355317169744355e-6,6.124361242320816,1.8069773938880786e-5,0.0009538024840626386,0.4865449419332826
6.6130862780565935e-6,1.333472393470893e-6,7.153675295392954,1.8077652932721535e-5,0.0009537926466278942,1.042831613188832
5.143511549599573e-6,8.027475290374825e-6,10.974531954248366,1.811809285893658e-5,0.0009537429263473721,0.9652320863572353
